id,d,sales,item_id,dept_id,cat_id,store_id,state_id
category,int16,float16,category,category,category,category,category
FOODS_1_001_CA_1_evaluation,1802,1.0,FOODS_1_001,FOODS_1,FOODS,CA_1,CA
FOODS_1_001_CA_2_evaluation,1802,1.0,FOODS_1_001,FOODS_1,FOODS,CA_2,CA
FOODS_1_001_CA_3_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,CA_3,CA
FOODS_1_001_CA_4_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,CA_4,CA
FOODS_1_001_TX_1_evaluation,1802,1.0,FOODS_1_001,FOODS_1,FOODS,TX_1,TX
FOODS_1_001_TX_2_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,TX_2,TX
FOODS_1_001_TX_3_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,TX_3,TX
FOODS_1_001_WI_1_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,WI_1,WI
FOODS_1_001_WI_2_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,WI_2,WI
FOODS_1_001_WI_3_evaluation,1802,,FOODS_1_001,FOODS_1,FOODS,WI_3,WI
FOODS_2_001_CA_1_evaluation,1802,,FOODS_2_001,FOODS_2,FOODS,CA_1,CA
FOODS_2_001_CA_2_evaluation,1802,1.0,FOODS_2_001,FOODS_2,FOODS,CA_2,CA
FOODS_2_001_CA_3_evaluation,1802,2.0,FOODS_2_001,FOODS_2,FOODS,CA_3,CA
FOODS_2_001_CA_4_evaluation,1802,1.0,FOODS_2_001,FOODS_2,FOODS,CA_4,CA
FOODS_2_001_TX_1_evaluation,1802,,FOODS_2_001,FOODS_2,FOODS,TX_1,TX
FOODS_2_001_TX_2_evaluation,1802,,FOODS_2_001,FOODS_2,FOODS,TX_2,TX
FOODS_2_001_TX_3_evaluation,1802,,FOODS_2_001,FOODS_2,FOODS,TX_3,TX
FOODS_2_001_WI_1_evaluation,1802,4.0,FOODS_2_001,FOODS_2,FOODS,WI_1,WI
FOODS_2_001_WI_2_evaluation,1802,3.0,FOODS_2_001,FOODS_2,FOODS,WI_2,WI
FOODS_2_001_WI_3_evaluation,1802,5.0,FOODS_2_001,FOODS_2,FOODS,WI_3,WI
FOODS_3_001_CA_1_evaluation,1802,1.0,FOODS_3_001,FOODS_3,FOODS,CA_1,CA
FOODS_3_001_CA_2_evaluation,1802,1.0,FOODS_3_001,FOODS_3,FOODS,CA_2,CA
FOODS_3_001_CA_3_evaluation,1802,2.0,FOODS_3_001,FOODS_3,FOODS,CA_3,CA
FOODS_3_001_CA_4_evaluation,1802,,FOODS_3_001,FOODS_3,FOODS,CA_4,CA
FOODS_3_001_TX_1_evaluation,1802,,FOODS_3_001,FOODS_3,FOODS,TX_1,TX
FOODS_3_001_TX_2_evaluation,1802,,FOODS_3_001,FOODS_3,FOODS,TX_2,TX
FOODS_3_001_TX_3_evaluation,1802,,FOODS_3_001,FOODS_3,FOODS,TX_3,TX
FOODS_3_001_WI_1_evaluation,1802,1.0,FOODS_3_001,FOODS_3,FOODS,WI_1,WI
FOODS_3_001_WI_2_evaluation,1802,1.0,FOODS_3_001,FOODS_3,FOODS,WI_2,WI
