event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,tm_d,tm_w,tm_m,tm_y,tm_wm,tm_dw,tm_w_end
category,category,category,category,category,category,category,int8,int8,int8,int8,int8,int8,int8
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
,,,,1,0,0,4,1,1,0,1,0,0
