enc_state_id_mean,enc_store_id_mean,enc_cat_id_mean,enc_dept_id_mean,enc_state_id_cat_id_mean,enc_state_id_dept_id_mean,enc_store_id_cat_id_mean,enc_store_id_dept_id_mean,enc_item_id_mean,enc_item_id_state_id_mean,enc_item_id_store_id_mean
float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
0.6914,0.6484,0.999,0.586,0.9126,0.7886,0.823,0.8213,0.586,0.7886,0.8213
0.6914,0.841,0.999,0.586,0.9126,0.7886,1.103,1.007,0.586,0.7886,1.007
0.6914,0.881,0.999,0.586,0.9126,0.7886,1.323,1.097,0.586,0.7886,1.097
0.6914,0.4126,0.999,0.586,0.9126,0.7886,0.4043,0.2374,0.586,0.7886,0.2374
0.462,0.4285,0.999,0.586,0.755,0.4902,0.8154,0.5215,0.586,0.4902,0.5215
0.462,0.4119,0.999,0.586,0.755,0.4902,0.638,0.55,0.586,0.4902,0.55
0.462,0.5425,0.999,0.586,0.755,0.4902,0.822,0.4014,0.586,0.4902,0.4014
0.756,0.668,0.999,0.586,1.337,0.3882,0.9497,0.4675,0.586,0.3882,0.4675
0.756,1.122,0.999,0.586,1.337,0.3882,2.004,0.3958,0.586,0.3882,0.3958
0.756,0.5186,0.999,0.586,1.337,0.3882,1.024,0.258,0.586,0.3882,0.258
0.6914,0.6484,0.999,1.603,0.9126,1.116,0.823,1.144,1.603,1.116,1.144
0.6914,0.841,0.999,1.603,0.9126,1.116,1.103,1.558,1.603,1.116,1.558
0.6914,0.881,0.999,1.603,0.9126,1.116,1.323,1.1,1.603,1.116,1.1
0.6914,0.4126,0.999,1.603,0.9126,1.116,0.4043,0.664,1.603,1.116,0.664
0.462,0.4285,0.999,1.603,0.755,1.315,0.8154,1.115,1.603,1.315,1.115
0.462,0.4119,0.999,1.603,0.755,1.315,0.638,1.234,1.603,1.315,1.234
0.462,0.5425,0.999,1.603,0.755,1.315,0.822,1.583,1.603,1.315,1.583
0.756,0.668,0.999,1.603,1.337,2.521,0.9497,1.871,1.603,2.521,1.871
0.756,1.122,0.999,1.603,1.337,2.521,2.004,4.18,1.603,2.521,4.18
0.756,0.5186,0.999,1.603,1.337,2.521,1.024,1.536,1.603,2.521,1.536
0.6914,0.6484,0.999,0.78,0.9126,0.832,0.823,0.5073,0.78,0.832,0.5073
0.6914,0.841,0.999,0.78,0.9126,0.832,1.103,0.7427,0.78,0.832,0.7427
0.6914,0.881,0.999,0.78,0.9126,0.832,1.323,1.765,0.78,0.832,1.765
0.6914,0.4126,0.999,0.78,0.9126,0.832,0.4043,0.3093,0.78,0.832,0.3093
0.462,0.4285,0.999,0.78,0.755,0.3535,0.8154,0.6665,0.78,0.3535,0.6665
0.462,0.4119,0.999,0.78,0.755,0.3535,0.638,0.2246,0.78,0.3535,0.2246
0.462,0.5425,0.999,0.78,0.755,0.3535,0.822,0.4749,0.78,0.3535,0.4749
0.756,0.668,0.999,0.78,1.337,0.995,0.9497,0.5073,0.78,0.995,0.5073
0.756,1.122,0.999,0.78,1.337,0.995,2.004,1.457,0.78,0.995,1.457
0.756,0.5186,0.999,0.78,1.337,0.995,1.024,1.021,0.78,0.995,1.021
0.6914,0.6484,0.3557,0.5747,0.5166,0.896,0.594,1.0,0.5747,0.896,1.0
0.6914,0.841,0.3557,0.5747,0.5166,0.896,0.4314,0.734,0.5747,0.896,0.734
0.6914,0.881,0.3557,0.5747,0.5166,0.896,0.5757,1.007,0.5747,0.896,1.007
0.6914,0.4126,0.3557,0.5747,0.5166,0.896,0.4595,0.843,0.5747,0.896,0.843
0.462,0.4285,0.3557,0.5747,0.2896,0.451,0.19,0.3584,0.5747,0.451,0.3584
0.462,0.4119,0.3557,0.5747,0.2896,0.451,0.293,0.4429,0.5747,0.451,0.4429
0.462,0.5425,0.3557,0.5747,0.2896,0.451,0.3792,0.54,0.5747,0.451,0.54
0.756,0.668,0.3557,0.5747,0.1752,0.2494,0.2434,0.4143,0.5747,0.2494,0.4143
0.756,1.122,0.3557,0.5747,0.1752,0.2494,0.1194,0.1128,0.5747,0.2494,0.1128
