enc_store_id_dept_id_snap_transform_1_mean,enc_item_id_store_id_snap_transform_1_mean,enc_store_id_dept_id_tm_m_mean,enc_item_id_store_id_tm_m_mean,enc_store_id_dept_id_snap_transform_1_tm_m_mean,enc_item_id_store_id_snap_transform_1_tm_m_mean,enc_store_id_dept_id_snap_transform_1_std,enc_item_id_store_id_snap_transform_1_std,enc_store_id_dept_id_tm_m_std,enc_item_id_store_id_tm_m_std,enc_store_id_dept_id_snap_transform_1_tm_m_std,enc_item_id_store_id_snap_transform_1_tm_m_std
float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
1.8,1.8,0.5356,0.5356,1.0,1.0,1.644,1.644,0.838,0.838,,
0.6,0.6,1.0,1.0,1.0,1.0,0.548,0.548,1.633,1.633,,
0.25,0.25,1.087,1.087,,,0.5,0.5,2.645,2.645,,
0.5,0.5,0.1482,0.1482,,,0.577,0.577,0.362,0.362,,
0.4456,0.4456,0.75,0.75,0.45,0.45,0.8433,0.8433,1.378,1.378,0.9443,0.9443
0.4382,0.4382,0.5264,0.5264,0.5293,0.5293,0.7065,0.7065,0.612,0.612,0.624,0.624
0.4065,0.4065,0.36,0.36,0.3684,0.3684,0.73,0.73,0.569,0.569,0.4956,0.4956
0.4834,0.4834,0.4443,0.4443,0.3684,0.3684,1.047,1.047,0.751,0.751,0.684,0.684
0.3625,0.3625,0.1482,0.1482,0.1053,0.1053,0.876,0.876,0.362,0.362,0.3152,0.3152
0.2698,0.2698,,,,,0.6274,0.6274,,,,
1.25,1.25,1.481,1.481,,,1.259,1.259,1.784,1.784,,
1.6,1.6,1.571,1.571,1.0,1.0,2.074,2.074,1.597,1.597,,
1.8,1.8,1.107,1.107,2.0,2.0,0.4473,0.4473,1.101,1.101,,
0.6,0.6,0.5,0.5,1.0,1.0,0.548,0.548,0.745,0.745,,
0.923,0.923,1.223,1.223,1.053,1.053,1.231,1.231,1.477,1.477,1.471,1.471
1.148,1.148,0.9414,0.9414,0.75,0.75,1.185,1.185,1.298,1.298,1.064,1.064
1.594,1.594,1.37,1.37,1.685,1.685,1.445,1.445,1.572,1.572,1.733,1.733
1.706,1.706,2.072,2.072,1.7,1.7,1.441,1.441,1.608,1.608,1.56,1.56
3.4,3.4,4.035,4.035,4.15,4.15,2.43,2.43,2.56,2.56,2.434,2.434
1.337,1.337,1.821,1.821,1.45,1.45,1.571,1.571,2.074,2.074,2.04,2.04
0.2,0.2,0.5356,0.5356,1.0,1.0,0.4473,0.4473,0.838,0.838,,
0.4,0.4,0.9287,0.9287,1.0,1.0,0.548,0.548,1.961,1.961,,
1.4,1.4,1.536,1.536,2.0,2.0,0.8945,0.8945,1.71,1.71,,
0.0,0.0,0.3333,0.3333,,,0.0,0.0,0.62,0.62,,
0.6665,0.6665,,,,,1.154,1.154,,,,
0.1538,0.1538,0.2307,0.2307,0.0,0.0,0.5757,0.5757,1.177,1.177,0.0,0.0
0.4395,0.4395,0.4814,0.4814,0.3684,0.3684,0.846,0.846,0.849,0.849,0.4956,0.4956
0.5435,0.5435,0.643,0.643,0.7,0.7,0.8945,0.8945,0.7803,0.7803,0.8013,0.8013
1.044,1.044,1.679,1.679,1.35,1.35,1.026,1.026,1.307,1.307,1.04,1.04
0.9023,0.9023,0.893,0.893,1.05,1.05,1.06,1.06,1.134,1.134,1.234,1.234
1.0,1.0,0.8213,0.8213,2.0,2.0,0.707,0.707,1.249,1.249,,
0.5,0.5,0.6665,0.6665,,,1.0,1.0,0.7847,0.7847,,
1.25,1.25,0.815,0.815,,,0.5,0.5,1.57,1.57,,
1.2,1.2,0.857,0.857,1.0,1.0,1.096,1.096,0.9707,0.9707,,
0.4126,0.4126,0.5,0.5,0.5,0.5,0.6304,0.6304,0.756,0.756,0.756,0.756
0.4348,0.4348,0.7144,0.7144,0.65,0.65,0.684,0.684,0.8545,0.8545,0.745,0.745
0.4504,0.4504,0.6,0.6,0.4736,0.4736,0.764,0.764,0.866,0.866,0.697,0.697
0.3586,0.3586,0.3572,0.3572,0.25,0.25,0.639,0.639,0.6216,0.6216,0.5503,0.5503
0.0787,0.0787,0.1904,0.1904,0.05884,0.05884,0.2708,0.2708,0.5117,0.5117,0.2426,0.2426
0.216,0.216,0.5,0.5,0.5,0.5,0.466,0.466,0.7305,0.7305,0.7305,0.7305
0.0,0.0,0.1578,0.1578,,,0.0,0.0,0.5015,0.5015,,
0.0,0.0,0.25,0.25,,,0.0,0.0,0.5,0.5,,
0.0,0.0,0.2222,0.2222,,,0.0,0.0,0.5063,0.5063,,
0.0,0.0,0.1,0.1,,,0.0,0.0,0.3079,0.3079,,
0.04395,0.04395,0.0769,0.0769,0.05264,0.05264,0.2062,0.2062,0.2717,0.2717,0.2294,0.2294
0.11957,0.11957,0.0714,0.0714,0.05,0.05,0.3584,0.3584,0.2622,0.2622,0.2236,0.2236
0.2717,0.2717,0.1428,0.1428,0.2,0.2,0.5156,0.5156,0.3564,0.3564,0.4104,0.4104
0.046,0.046,0.2,0.2,0.2,0.2,0.2107,0.2107,0.414,0.414,0.414,0.414
1.0,1.0,,,,,,,,,,
0.03372,0.03372,0.0476,0.0476,0.0,0.0,0.1815,0.1815,0.2183,0.2183,0.0,0.0
0.5,0.5,0.769,0.769,,,0.577,0.577,0.951,0.951,,
0.6665,0.6665,,,,,0.577,0.577,,,,
0.6665,0.6665,,,,,0.577,0.577,,,,
0.0,0.0,0.5186,0.5186,,,0.0,0.0,0.893,0.893,,
0.2417,0.2417,0.4443,0.4443,0.4736,0.4736,0.5234,0.5234,0.751,0.751,0.8413,0.8413
0.1648,0.1648,0.3333,0.3333,0.2632,0.2632,0.4019,0.4019,0.5645,0.5645,0.562,0.562
0.1642,0.1642,,,,,0.447,0.447,,,,
1.131,1.131,1.286,1.286,1.4,1.4,1.019,1.019,1.182,1.182,1.143,1.143
0.3777,0.3777,0.2174,0.2174,0.1666,0.1666,0.68,0.68,0.4216,0.4216,0.3835,0.3835
0.337,0.337,0.5,0.5,0.6,0.6,0.6675,0.6675,0.694,0.694,0.754,0.754
0.0,0.0,0.2727,0.2727,,,0.0,0.0,0.7026,0.7026,,
1.0,1.0,0.696,0.696,,,0.0,0.0,0.974,0.974,,
