snap_transform_1,snap_transform_2,next_event_type_1,last_event_type_1,days_since_event,days_until_event
int8,int8,category,category,int16,int16
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
1,44,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,2,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
0,1,Religious,,1,3
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
2,45,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
1,44,Religious,,2,2
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
3,46,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
2,45,Religious,,3,1
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
3,46,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
0,2,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
4,47,Religious,Religious,0,0
