mean_4_dow_0,mean_4_dow_1,mean_4_dow_2,mean_4_dow_3,mean_4_dow_4,mean_4_dow_5,mean_4_dow_6,mean_20_dow_0,mean_20_dow_1,mean_20_dow_2,mean_20_dow_3,mean_20_dow_4,mean_20_dow_5,mean_20_dow_6,days_since_sale
float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1.0,,,,,,,1.0,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,2.0,,,,,,,2.0,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,4.0,,,,,,,4.0,,,,,,0.0
,3.0,,,,,,,3.0,,,,,,0.0
,5.0,,,,,,,5.0,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,2.0,,,,,,,2.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,2.0,,,,,,,2.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,1.0,,,,,,,1.0,,,,,,0.0
,,,,,,,,,,,,,,0.0
,2.0,,,,,,,2.0,,,,,,0.0
