index,ipca_1_84_comp_1,ipca_1_84_comp_2,ipca_1_84_comp_3,ipca_1_84_comp_4,ipca_1_84_comp_5,ipca_1_84_comp_6,ipca_1_84_comp_7,ipca_1_84_comp_8,ipca_1_84_comp_9,ipca_1_84_comp_10,ipca_1_84_comp_11,ipca_1_84_comp_12,ipca_1_84_comp_13,ipca_1_84_comp_14
int64,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16,float16
0,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
1,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
4,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
11,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
12,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
13,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
17,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
18,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
19,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
20,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
21,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
22,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
27,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
28,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
29,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
30,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
33,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
35,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
37,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
45,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
46,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
57,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
59,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
70,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
71,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
73,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
74,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
77,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
78,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
80,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
81,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
82,0.09814,0.125,0.08606,0.09534,-0.241,-0.3545,0.00996,-0.02138,0.237,-0.11176,0.316,0.3274,0.2788,0.3167
83,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
84,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
86,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
87,0.268,0.3413,0.2361,0.2612,-0.651,-0.926,0.0364,-0.1055,0.614,-0.3335,0.755,0.832,0.7236,0.853
88,0.183,0.2332,0.161,0.1783,-0.446,-0.64,0.02316,-0.06354,0.4255,-0.2229,0.535,0.5796,0.5015,0.585
89,0.3528,0.4497,0.311,0.3442,-0.856,-1.212,0.04968,-0.148,0.8022,-0.4448,0.9746,1.084,0.9463,1.121
90,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
91,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
92,0.09814,0.125,0.08606,0.09534,-0.241,-0.3545,0.00996,-0.02138,0.237,-0.11176,0.316,0.3274,0.2788,0.3167
93,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
96,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
97,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
98,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
99,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
100,0.09814,0.125,0.08606,0.09534,-0.241,-0.3545,0.00996,-0.02138,0.237,-0.11176,0.316,0.3274,0.2788,0.3167
101,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
102,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
103,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
105,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
107,0.09814,0.125,0.08606,0.09534,-0.241,-0.3545,0.00996,-0.02138,0.237,-0.11176,0.316,0.3274,0.2788,0.3167
112,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
115,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
116,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
123,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
124,-0.07166,-0.0913,-0.0639,-0.0707,0.169,0.2167,-0.0167,0.06274,-0.1398,0.1099,-0.123,-0.1771,-0.1664,-0.2198
127,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
129,0.09814,0.125,0.08606,0.09534,-0.241,-0.3545,0.00996,-0.02138,0.237,-0.11176,0.316,0.3274,0.2788,0.3167
140,0.014244,0.01836,0.01811,0.01947,0.002123,0.1716,0.05127,-0.2522,-0.142,-0.1656,-0.5234,-0.28,-0.1554,-0.0139
141,0.524,0.6675,0.4683,0.5176,-1.228,-1.542,0.1311,-0.505,0.9883,-0.831,0.7935,1.234,1.18,1.595
143,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
144,0.014244,0.01836,0.01811,0.01947,0.002123,0.1716,0.05127,-0.2522,-0.142,-0.1656,-0.5234,-0.28,-0.1554,-0.0139
147,0.09814,0.125,0.08606,0.09534,-0.241,-0.3545,0.00996,-0.02138,0.237,-0.11176,0.316,0.3274,0.2788,0.3167
148,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
150,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
151,0.0991,0.1265,0.0931,0.1025,-0.2028,-0.11395,0.06464,-0.2942,0.04636,-0.2764,-0.304,-0.02753,0.0672,0.2544
152,0.27,0.3445,0.25,0.2756,-0.5747,-0.4448,0.146,-0.6514,0.2325,-0.663,-0.485,0.12213,0.3008,0.729
153,0.014244,0.01836,0.01811,0.01947,0.002123,0.1716,0.05127,-0.2522,-0.142,-0.1656,-0.5234,-0.28,-0.1554,-0.0139
154,0.01323,0.01683,0.01106,0.01234,-0.03604,-0.0689,-0.003363,0.02068,0.04865,-0.0009365,0.0965,0.07513,0.05615,0.04843
156,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
157,0.3938,0.5034,0.3557,0.3962,-0.866,-0.765,0.1355,-1.01,0.5527,-1.188,-0.85,0.3347,0.3237,1.1455
158,0.223,0.2852,0.1986,0.2231,-0.4946,-0.4346,0.0541,-0.6523,0.367,-0.8022,-0.669,0.185,0.09,0.671
159,0.31,0.3965,0.2876,0.3203,-0.6235,-0.2391,0.1768,-1.24,0.1738,-1.243,-1.689,-0.2727,-0.1101,0.815
160,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
161,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
162,-0.0327,-0.0408,-0.0334,-0.033,0.0819,0.1816,-0.04056,-0.2534,-0.00764,-0.305,-0.7075,-0.217,-0.3662,-0.07135
163,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
165,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
166,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
167,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
168,0.1361,0.1741,0.10956,0.1259,-0.3662,-0.6304,-0.0686,-0.06494,0.5596,-0.3623,0.3516,0.6426,0.2908,0.5273
169,-0.0337,-0.0423,-0.0404,-0.0401,0.04373,-0.059,-0.0952,0.01933,0.183,-0.1404,-0.08746,0.138,-0.1545,-0.0091
170,-0.0327,-0.0408,-0.0334,-0.033,0.0819,0.1816,-0.04056,-0.2534,-0.00764,-0.305,-0.7075,-0.217,-0.3662,-0.07135
171,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
172,0.2201,0.2808,0.1776,0.2018,-0.6094,-1.157,-0.11005,0.1659,0.939,-0.3086,1.19,1.25,0.725,0.8584
173,-0.0337,-0.0423,-0.0404,-0.0401,0.04373,-0.059,-0.0952,0.01933,0.183,-0.1404,-0.08746,0.138,-0.1545,-0.0091
175,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
177,-0.0327,-0.0408,-0.0334,-0.033,0.0819,0.1816,-0.04056,-0.2534,-0.00764,-0.305,-0.7075,-0.217,-0.3662,-0.07135
182,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
184,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
185,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
186,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
190,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
193,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
194,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
197,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
199,-0.0327,-0.0408,-0.0334,-0.033,0.0819,0.1816,-0.04056,-0.2534,-0.00764,-0.305,-0.7075,-0.217,-0.3662,-0.07135
203,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
204,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
210,-0.1176,-0.1508,-0.099,-0.1136,0.2832,0.3381,0.02007,0.3123,-0.337,0.492,0.2832,-0.2502,-0.04016,-0.4075
211,0.398,0.5073,0.393,0.4272,-0.7173,0.06793,0.4282,-1.577,-0.3506,-1.161,-2.12,-0.866,0.02611,0.8286
213,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
214,0.05215,0.0656,0.0509,0.05237,-0.1266,-0.2332,0.04666,0.2283,0.03995,0.2703,0.722,0.2544,0.4048,0.1292
216,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
217,-0.0327,-0.0408,-0.0334,-0.033,0.0819,0.1816,-0.04056,-0.2534,-0.00764,-0.305,-0.7075,-0.217,-0.3662,-0.07135
218,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
220,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
221,0.0532,0.06714,0.05798,0.0595,-0.08844,0.007446,0.10144,-0.0446,-0.1508,0.1056,0.10223,-0.1005,0.1934,0.0668
222,0.3108,0.3945,0.3135,0.3323,-0.5923,-0.2568,0.3794,-0.4656,-0.2983,-0.035,0.111,-0.1893,0.775,0.617
223,-0.1176,-0.1508,-0.099,-0.1136,0.2832,0.3381,0.02007,0.3123,-0.337,0.492,0.2832,-0.2502,-0.04016,-0.4075
224,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
226,-0.0337,-0.0423,-0.0404,-0.0401,0.04373,-0.059,-0.0952,0.01933,0.183,-0.1404,-0.08746,0.138,-0.1545,-0.0091
227,0.825,1.047,0.817,0.8706,-1.638,-1.025,0.8804,-1.034,-0.403,-0.1514,0.749,-0.01212,2.15,1.779
228,0.7373,0.937,0.712,0.764,-1.544,-1.333,0.6294,-0.6978,0.1216,-0.2325,1.179,0.5815,2.014,1.766
229,0.4006,0.5044,0.4512,0.458,-0.617,0.2734,0.888,-0.3003,-1.486,1.089,0.861,-1.055,1.585,0.371
230,0.05215,0.0656,0.0509,0.05237,-0.1266,-0.2332,0.04666,0.2283,0.03995,0.2703,0.722,0.2544,0.4048,0.1292
231,-0.1176,-0.1508,-0.099,-0.1136,0.2832,0.3381,0.02007,0.3123,-0.337,0.492,0.2832,-0.2502,-0.04016,-0.4075
232,0.0541,0.06683,0.0743,0.069,-0.0538,0.1189,0.23,0.2065,-0.4824,0.6274,0.6924,-0.2365,0.5303,-0.0633
233,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
235,0.305,0.3892,0.2527,0.285,-0.8145,-1.442,-0.0968,0.12396,1.127,-0.419,1.41,1.502,0.9473,1.126
236,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
237,-0.1176,-0.1508,-0.099,-0.1136,0.2832,0.3381,0.02007,0.3123,-0.337,0.492,0.2832,-0.2502,-0.04016,-0.4075
238,0.4797,0.6113,0.447,0.4888,-1.037,-0.9395,0.2773,-0.801,0.41,-0.7783,-0.04025,0.4514,0.8833,1.283
239,-0.03174,-0.04108,-0.01704,-0.02348,0.1165,0.2932,0.08813,-0.002523,-0.3394,0.2164,-0.1172,-0.3528,-0.02914,-0.2014
240,0.0541,0.06683,0.0743,0.069,-0.0538,0.1189,0.23,0.2065,-0.4824,0.6274,0.6924,-0.2365,0.5303,-0.0633
241,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
242,0.225,0.2883,0.2126,0.2374,-0.4185,0.04678,0.1637,-1.198,-0.01479,-1.132,-1.908,-0.525,-0.333,0.547
243,0.0532,0.06714,0.05798,0.0595,-0.08844,0.007446,0.10144,-0.0446,-0.1508,0.1056,0.10223,-0.1005,0.1934,0.0668
245,0.05215,0.0656,0.0509,0.05237,-0.1266,-0.2332,0.04666,0.2283,0.03995,0.2703,0.722,0.2544,0.4048,0.1292
246,-0.2046,-0.2603,-0.1975,-0.2133,0.4155,0.2717,-0.1766,0.3765,-0.003178,0.2461,0.0935,-0.01181,-0.3882,-0.4834
247,0.0541,0.06683,0.0743,0.069,-0.0538,0.1189,0.23,0.2065,-0.4824,0.6274,0.6924,-0.2365,0.5303,-0.0633
252,-0.1186,-0.1504,-0.11536,-0.1231,0.2487,0.2267,-0.1085,0.06143,-0.00547,-0.02943,-0.307,-0.1144,-0.3772,-0.2773
254,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
255,-0.1176,-0.1508,-0.099,-0.1136,0.2832,0.3381,0.02007,0.3123,-0.337,0.492,0.2832,-0.2502,-0.04016,-0.4075
256,-0.1176,-0.1508,-0.099,-0.1136,0.2832,0.3381,0.02007,0.3123,-0.337,0.492,0.2832,-0.2502,-0.04016,-0.4075
260,-0.1197,-0.1521,-0.1225,-0.1302,0.2106,-0.01394,-0.1633,0.3345,0.1852,0.1353,0.313,0.2406,-0.1656,-0.2152
263,-0.0337,-0.0423,-0.0404,-0.0401,0.04373,-0.059,-0.0952,0.01933,0.183,-0.1404,-0.08746,0.138,-0.1545,-0.0091
264,-0.0337,-0.0423,-0.0404,-0.0401,0.04373,-0.059,-0.0952,0.01933,0.183,-0.1404,-0.08746,0.138,-0.1545,-0.0091
267,-0.03275,-0.04257,-0.02408,-0.03062,0.0783,0.05246,0.0334,0.2703,-0.1486,0.3813,0.503,0.002066,0.1825,-0.1392
269,-0.1266,-0.1603,-0.1316,-0.1248,0.2375,0.4329,0.03934,0.01898,-0.562,0.2327,0.565,-0.3218,0.4036,-0.3958
273,-0.2155,-0.271,-0.2534,-0.2411,0.2969,0.01441,-0.3406,0.10474,0.2942,-0.37,0.4048,0.4075,-0.0699,-0.2795
274,-0.2155,-0.271,-0.2534,-0.2411,0.2969,0.01441,-0.3406,0.10474,0.2942,-0.37,0.4048,0.4075,-0.0699,-0.2795
280,-0.2123,-0.269,-0.22,-0.2224,0.3792,0.1998,-0.1793,0.3396,0.1488,0.00054,-0.0355,0.2451,-0.4917,-0.3481
281,0.3088,0.3875,0.37,0.3752,-0.414,0.5986,1.001,-0.04422,-1.854,1.476,1.103,-1.186,1.596,0.1081
283,-0.2135,-0.2698,-0.23,-0.2245,0.3696,0.3665,-0.1572,0.08295,-0.228,-0.01329,0.3752,-0.0831,0.05542,-0.4717
